stop_id,lat,lon,ward,is_existing_stop,nearest_node_degree,is_intersection,road_type,distance_to_major_road,distance_to_nearest_stop,distance_to_2nd_nearest,distance_to_3rd_nearest,avg_spacing_3_nearest,spacing_regularity,stops_within_500m,stops_within_1km,stop_density_1km,pop_density_500m,pop_not_served_nearby,poverty_rate_weighted_pop,route_count_serving,trips_per_day,trips_per_hour_peak,trips_per_hour_offpeak,avg_headway_minutes,service_span_hours,routes_within_500m,avg_speed_daily,avg_speed_peak,avg_speed_offpeak,congestion_pct_daily,congestion_pct_peak,trip_count_daily,trip_count_peak,demand_variability_cv,dominant_congestion_level,ward_pct_access,ward_population,ward_pop_density,ward_poverty_rate,ward_pop_not_served,is_benchmark_ward,ward_service_per_capita,ward_category,distance_to_cbd,coverage_efficiency_nearby,demand_supply_ratio,network_accessibility,equity_score,is_good_stop,pop_within_200m,pop_within_500m,pop_within_1km
0001RLW,-1.290884,36.828242,Nairobi Central Ward,True,4,True,unclassified,185.4041217158844,173.68450669150394,231.853573282639,412.89391654449224,272.8106655062117,101.86068261146828,9,57,18.14366351247607,6034.16,0,947.8436363292693,7,14,1.75,0,102.85714285714286,1,7,,,,,,,,,,100.0,18997.26888177704,6034.16,20.0,0.0,True,148.37220466834827,well_served,1.3249021538553027,1.7241379310344827,372.6666666666667,0.021458752967366067,0.0,1,799.0,5590,27759
0002KOJ,-1.28123,36.822596,Nairobi Central Ward,True,3,True,residential,20.568572556179028,5.177885282391098,21.286282306489852,23.09760377163199,16.520590453504315,8.054520131024567,14,66,21.008452488130185,6034.16,0,947.8436363292693,0,0,0.0,0,,0,46,,,,,,,,,,100.0,18997.26888177704,6034.16,20.0,0.0,True,148.37220466834827,well_served,0.8308508424481096,1.492537313432836,5161.0,0.13909126309522746,0.0,1,757.0,5161,23044
0003NGR,-1.274395,36.823806,Ngara Ward Ward,True,3,True,primary,58.27568925327863,27.99831251390435,31.421881802005903,53.8075290735581,37.74257446315612,11.445298354733994,23,64,20.371832715762604,9887.15,0,1553.0698902470162,0,0,0.0,0,,0,26,,,,,,,,,,100.0,25589.814342148355,9887.15,20.0,0.0,True,62.733293484244946,well_served,1.5235631310738722,1.5384615384615385,7734.0,0.05061096779796728,0.0,1,1240.0,7734,26486
0004ODN,-1.282769,36.825032,Nairobi Central Ward,True,3,True,tertiary,67.18323943423933,14.00978507142441,64.1010436173809,81.76748169523047,53.29277012801193,28.69832102878357,26,76,24.19155134996809,6034.16,0,947.8436363292693,0,0,0.0,0,,0,54,,,,,,,,,,100.0,18997.26888177704,6034.16,20.0,0.0,True,148.37220466834827,well_served,0.9597195176506756,1.2987012987012987,4809.0,0.04399908283755584,0.0,1,757.0,4809,25851
0005AMB,-1.285963,36.826048,Nairobi Central Ward,True,4,True,secondary_link,60.72515500986375,17.426994955135765,68.15381921797054,103.67325303728748,63.084689070131255,35.39186647272769,29,65,20.690142601946395,6034.16,0,947.8436363292693,0,0,0.0,0,,0,65,,,,,,,,,,100.0,18997.26888177704,6034.16,20.0,0.0,True,148.37220466834827,well_served,0.9848043786135757,1.5151515151515151,4731.0,0.06480340145538388,0.0,1,757.0,4731,26761
0006BSS,-1.287191,36.828881,Nairobi Central Ward,True,6,True,unclassified,138.3742566201157,4.739214835916075,62.6485435405636,107.0257026745185,58.13782035033273,41.87991854786178,35,67,21.326762374313976,6034.16,0,947.8436363292693,0,0,0.0,0,,0,60,,,,,,,,,,100.0,18997.26888177704,6034.16,20.0,0.0,True,148.37220466834827,well_served,1.301515742951185,1.4705882352941178,5094.0,0.043049556966275715,0.0,1,757.0,5094,38264
0007COM,-1.284282,36.826188,Nairobi Central Ward,True,4,True,secondary,25.466457880996714,10.581688057959171,39.43760364871345,46.331830807545316,32.11704083807265,15.485717216246925,25,71,22.600001919049138,6034.16,0,947.8436363292693,0,0,0.0,0,,0,74,,,,,,,,,,100.0,18997.26888177704,6034.16,20.0,0.0,True,148.37220466834827,well_served,1.0265491266059419,1.3888888888888888,4731.0,0.15113469350471925,0.0,1,757.0,4731,29695
0008MUT,-1.288049,36.833947,Nairobi Central Ward,True,2,False,residential,226.88309038467315,11.84550728999907,12.815908693257015,183.09561651251332,69.25234416525647,80.50032469404344,22,63,20.053522829578814,6034.16,0,947.8436363292693,0,0,0.0,0,,0,31,,,,,,,,,,100.0,18997.26888177704,6034.16,20.0,0.0,True,148.37220466834827,well_served,1.8707193178952897,1.5625,13780.0,0.008776430039736353,0.0,1,820.0,13780,66489
0010OTC,-1.284947,36.830994,Nairobi Central Ward,True,4,True,secondary,4.847180759952018,8.4535081476161,36.493024965020396,80.11001577819566,41.68551629694405,29.483161817404675,30,74,23.55493157760051,6034.16,0,947.8436363292693,0,0,0.0,0,,0,48,,,,,,,,,,100.0,18997.26888177704,6034.16,20.0,0.0,True,148.37220466834827,well_served,1.5419246727734113,1.3333333333333333,11539.0,0.684090361528831,0.0,1,952.0,11539,59522
0011TUS,-1.285346,36.828574,Nairobi Central Ward,True,5,True,living_street,189.40529259106748,29.500647099123725,39.76498997238709,108.77532473107246,59.34698726752776,35.201416562050646,36,70,22.281692032865347,6034.16,0,947.8436363292693,0,0,0.0,0,,0,70,,,,,,,,,,100.0,18997.26888177704,6034.16,20.0,0.0,True,148.37220466834827,well_served,1.2698326423651285,1.408450704225352,5184.0,0.026259774252906275,0.0,1,757.0,5184,41334
